name,location,phone,costForTwo
Cafe 221B,BTM,+91 7899022907,300
Desi Rasoi,Jayanagar,+91 9611711911,600
Parathe Wali Gali,Wilson Garden,+91 9538004054,250
Red Onion,Shanti Nagar,+91 8867253669,"1,200"
Baba Chatkora,Basavanagudi,+91 9902448844,"1,000"
Mainland China,Jayanagar,+91 8026532525,"1,700"
Davangere Benna Dose Hotel,Jayanagar,+91 7259699320,100
New Banashankari Donne Biryani,Basavanagudi,+91 8904452279,300
B & B The Pub,Basavanagudi,+91 7259999804,"1,000"
Garage Pizza,Basavanagudi,+91 9620504249,400
Night Restro,BTM,+91 7259432493,500
Shake Tat Bottle,BTM,+91 8073005252,200
Gandharva Family Restaurant,Basavanagudi,+91 8041505364,900
Kudla - Hotel Ramanashree,Richmond Road,+91 9686198148,"1,200"
Anupam's Coastal Express,Shanti Nagar,+91 7022264444,600
Polamma's Mess,BTM,+91 9743060222,300
Cable Car,Jayanagar,+91 8045128610,"1,000"
Roofnic,Basavanagudi,+91 9480003036,300
Tawa Sagara,Jayanagar,+91 9686153331,700
Mayuri,City Market,+91 8026704284,650
Bhandary's Kitchen,Koramangala 7th Block,+91 9342693634,300
Parika Multicuisine Restaurant,Richmond Road,+91 8049652474,"1,200"
Eshanya,Jayanagar,+91 8026531155,"1,000"
Siddique Kabab Centre,Jayanagar,+91 9845506180,550
Metro Military Hotel,Shanti Nagar,+91 8022486888,300
Kickin Burger,Jayanagar,+91 9947775709,400
Baker's Glove,Jayanagar,+91 8043943777,550
Upahara Sagar,Jayanagar,+91 8026541133,300
Clove Rooftop,Jayanagar,+91 9945504000,"1,000"
Falafal,City Market,+91 8041137613,200
Heritage Cafe,Jayanagar,+91 9066760892,200
Chef Master,Jayanagar,+91 9742444881,300
Akshaya Sweets & Chats,Jayanagar,+91 9986000554,200
Jayanagar Grill House,Jayanagar,+91 8123186002,250
Mane Holige,Jayanagar,+91 9886584789,200
Nagarjuna Chimney,Jayanagar,+91 8026649944,600
Mishra's Pedha Big Foods,Jayanagar,+91 9141474000,200
La Casa,Jayanagar,+91 7760061447,800
Sharma Ji Chaats And Desi khana,Jayanagar,+91 9980923409,200
Al-Madina Restaurant,City Market,+91 9513125836,400
Alfa Family Restaurant,Wilson Garden,+91 8026578240,400
Trendz Corner,Jayanagar,+91 8022442595,200
Fishland Deluxe,Jayanagar,+91 8041470470,500
Hungry Lion,Wilson Garden,+91 8073157015,200
Big Bites,Jayanagar,+91 8971114570,200
Vijaya Sagar,Wilson Garden,+91 8022236048,300
Divina - Eden Park Restaurants,Jayanagar,+91 8880845845,400
Juicemaker,Jayanagar,+91 9986019763,300
Rakesh Kumar Pani Poori,Jayanagar,+91 7204789668,100
Take A Break,Shanti Nagar,+91 7406502020,600
Sihi Chocolaterie,Jayanagar,+91 9916680000,300
Fitbakes,Jayanagar,+91 9620462376,400
MRS Paradise,Jayanagar,+91 8026649119,650
Hotel Coronation,City Market,+91 9481350795,350
Kamat Restaurant,City Market,+91 8022224802,400
Sk Grand Hotel,Jayanagar,+91 nan,400
Parivar,Jayanagar,+91 8041211357,500
Just Sandwiches,BTM,+91 9916036763,100
V B Bakery,Basavanagudi,+91 9620390345,150
Sri Ganesh Sweets,Basavanagudi,+91 8026674377,250
The Bakery World,Basavanagudi,+91 9900177000,250
Milano Ice Cream,Jayanagar,+91 8043740749,400
Cool Joint,Jayanagar,+91 8041210004,250
Durga Bikaner Sweets,Jayanagar,+91 9916574352,100
Kulfreeze,Jayanagar,+91 9641031000,200
The Rogue Elephant,Basavanagudi,+91 9742825560,"1,000"
The Upper Deck - Raaj Residency,Basavanagudi,+91 8026701494,800
Mavalli Tiffin Room (MTR),Basavanagudi,+91 8022220022,250
Brahmin's Coffee Bar,Basavanagudi,+91 9845030234,100
Chinese Corner,Basavanagudi,+91 9480436973,200
New Modern Hotel,Basavanagudi,+91 8026612625,150
Ganesh Chats,Basavanagudi,+91 9845418118,100
New Udupi Anand Bhavan,Basavanagudi,+91 nan,150
Hotel Janatha,Basavanagudi,+91 8026676383,150
New Shanthi Sagar,Basavanagudi,+91 8026579968,600
Kesar Rajasthani Parotha Point,Basavanagudi,+91 9916455824,200
Hotel Trupthi,Basavanagudi,+91 9620287301,200
Sri Idli Mane,Basavanagudi,+91 8884568505,150
Chamarajpet Non Veg Restaurant,Basavanagudi,+91 8026914299,200
Ganga Sagar,Basavanagudi,+91 8022426463,150
Joshi's Mumbai Masala,Basavanagudi,+91 9740138522,150
Uphara Kendra,Basavanagudi,+91 9886476096,100
Once Upon a Rooftop,Jayanagar,+91 8049652842,"1,000"
Golden Oak - La Marvella Sarovar Premiere Hotel,Jayanagar,+91 8049653191,"1,000"
Halli Jonne Biriyani,Jayanagar,+91 9663711666,400
Empark Inn Restaurant,Jayanagar,+91 8026561234,350
Bengaluru Cafe,Jayanagar,+91 nan,150
NV Naidu Hotel,City Market,+91 8026702551,250
Taj Restaurant,City Market,+91 8041249978,400
English Channel,Jayanagar,+91 8049079000,"1,200"
Sarvam's,Jayanagar,+91 7975444814,550
Iyengar's Inn,Jayanagar,+91 9886481618,100
Adiga's,Jayanagar,+91 nan,150
21 C - La Marvella Sarovar Premiere Hotel,Jayanagar,+91 9663908908,"1,000"
Emerald Green,City Market,+91 8026709603,600
Upperdeck,City Market,+91 9740989349,900
Hotel Anand Vihar,City Market,+91 8026707226,400
Pavithra Restaurant,Jayanagar,+91 9901051999,300
Biryani Paradise,Shanti Nagar,+91 9036004722,400
Shree Sagar,Jayanagar,+91 8026638897,500
New Ambur Biryani,Shanti Nagar,+91 9945555144,350
Satkar Upahar,Shanti Nagar,+91 8095755998,100
Shree Balaji Paratha House,Jayanagar,+91 9986315617,200
Donne Biryani,Shanti Nagar,+91 9945779848,200
Saarangi Express,Jayanagar,+91 8049079000,250
Adithya Veg,Jayanagar,+91 nan,300
Hotel Kalpaka,City Market,+91 9986228166,400
Poornima Restaurant,Wilson Garden,+91 9900649706,200
Kava - Fairfield by Marriott,Bellandur,+91 9513584683,"1,500"
The Fisherman's Wharf,Sarjapur Road,+91 8049653108,"1,400"
MoMo Cafe - Courtyard by Marriott,Bellandur,+91 9513653156,"2,000"
Ruh,Bellandur,+91 9972305871,"1,000"
Tipsy Bull - The Bar Exchange,Bellandur,+91 8049653133,"1,400"
Nook - Aloft Bengaluru Cessna Business Park,Bellandur,+91 9663517066,"1,800"
Chaarcoal,Bellandur,+91 9901755559,"1,200"
Sharaab Factory,Bellandur,+91 9901755559,"1,500"
Skylit - Citrus Hotels,Bellandur,+91 9513267805,"1,500"
Chef's Gallery,Bellandur,+91 9972432211,700
Palki's,Bellandur,+91 8025747067,800
W XYZ Bar - Aloft Bengaluru Cessna Business Park,Bellandur,+91 8045101033,"2,000"
The Black Pearl,Marathahalli,+91 8049653069,"1,500"
Jalsa Gold,Marathahalli,+91 9066887021,"1,300"
AB's - Absolute Barbecues,Sarjapur Road,+91 4045659915,"1,600"
The Hidden Home,Sarjapur Road,+91 8049653432,"1,300"
Barbecoa,Marathahalli,+91 9902287520,"1,000"
Opus Food Stories,Sarjapur Road,+91 7349734900,"1,500"
Village - The Soul of India,Sarjapur Road,+91 8041678382,"1,100"
Little Italy,Sarjapur Road,+91 9538695000,"1,500"
Xtreme Sports Bar,Sarjapur Road,+91 8049653459,"1,300"
RRoyal Rajasthan,Sarjapur Road,+91 9740517888,500
Flavours - Octave Hotel & Spa,Sarjapur Road,+91 9686601254,700
The Hub - Ibis Bengaluru,Marathahalli,+91 nan,
Equinox Bar - DoubleTree Suites By Hilton,Sarjapur Road,+91 8861301373,"1,900"
Story Time,Bellandur,+91 9666828389,500
The Salad Studio,Bellandur,+91 8045128772,400
Mont Blanc Cafe,Bellandur,+91 9686665925,650
Cafe Jezve,Bellandur,+91 8495880890,500
Puro Gusto,Bellandur,+91 9885576726,400
Tata Cha,Bellandur,+91 9606085727,400
Tea Totallers,Bellandur,+91 9980054200,500
Delitz Creamvilla Cafe,Bellandur,+91 8049652667,600
The Brewing Bean,Bellandur,+91 9886646411,500
Cafe Olive,Bellandur,+91 9008989126,550
Cafe Thulp,Bellandur,+91 8041129702,"1,000"
Chai Resto,Bellandur,+91 7411935891,200
Stoner,Sarjapur Road,+91 8042241123,500
Zoey's,Sarjapur Road,+91 9739646233,600
Eating Love,Sarjapur Road,+91 9739587654,800
Light House Cafe,Marathahalli,+91 9741033890,700
Imperio Cafe,Whitefield,+91 8061525151,200
Thiruvithamkoor Restaurant,Sarjapur Road,+91 8048500888,400
The Paratha Company,HSR,+91 8340766542,400
nu.tree,Sarjapur Road,+91 7204443000,400
Best Of Bengal,Marathahalli,+91 8043708428,300
Pet Full @ 99,Sarjapur Road,+91 9899114879,200
New Punjabi Dhaba,HSR,+91 9972425476,300
Punjabi Dawat,Bellandur,+91 8884513470,400
Kerala Mess Upahar,Bellandur,+91 9986208080,300
Phulke Ghar Ke,Bellandur,+91 7411489137,300
Coastal Fish Land,Bellandur,+91 8296847999,500
The Meal Story,Sarjapur Road,+91 7338139001,700
Meghana Foods Grand,Marathahalli,+91 8049652993,600
Murli,Bellandur,+91 8880873873,500
Barbeque Delight,Sarjapur Road,+91 7348950950,800
Basmati Restaurant,Bellandur,+91 8747911118,900
Reddy's Restaurant,Sarjapur Road,+91 8049652911,500
Sukhi Bhava,Marathahalli,+91 8042070711,300
Fun Kitchen,HSR,+91 7349778622,400
Hyderabadi Biryani Hub,Sarjapur Road,+91 8049652950,600
Moriz Restaurant,Marathahalli,+91 9731759093,800
Blueberry Restaurant,Bellandur,+91 7274002002,400
Biryani Kitchen,Bellandur,+91 9739969000,400
Udupi Aatithya,Bellandur,+91 8049653414,300
Pepperwood,Sarjapur Road,+91 8296818181,300
Biriyani House,Bellandur,+91 9108962445,400
Punjabi Khana,Bellandur,+91 7259138622,500
Al Daaz,HSR,+91 7676241111,550
Sai Santhi Cafe,Marathahalli,+91 8048542413,400
Shudh,Sarjapur Road,+91 7022711118,300
Sri Vishnu Grand & Garden Restaurant,Sarjapur Road,+91 8049652552,500
Potful,Sarjapur Road,+91 8049653499,650
Bahar Cafe,Marathahalli,+91 8045128790,750
DinePost9,Marathahalli,+91 9611311662,450
Sri Vishnu Grand,Sarjapur Road,+91 9739839156,400
Bathinda Dine,Bellandur,+91 8095526000,950
WOW! Momo,Marathahalli,+91 8050852290,400
Sri Krishna Kitchen,Bellandur,+91 9663539479,350
Maa Bhook Lagi,HSR,+91 8340766542,400
Cake Town Cafe,Bellandur,+91 8049652472,500
Kairali Restaurant,Bellandur,+91 7411616233,200
Basaveshwara Khanavali,Sarjapur Road,+91 9591856382,150
Costa Biryanis,East Bangalore,+91 9900733330,300
Sri Udupi Park,Marathahalli,+91 9071463322,500
Punjabi Nukkad Pure Veg,Bellandur,+91 8095371313,500
Mandya Gowdru Donne Biriyani,HSR,+91 9686715392,350
Indori Zaika,HSR,+91 7619184754,300
Homelicious Food,Bellandur,+91 7483168485,200
Rayalaseema Chefs,Marathahalli,+91 8904074151,800
The Nosh House,Sarjapur Road,+91 9980299910,600
Savoury Restaurant,Sarjapur Road,+91 8049994999,800
Delhite Food,Bellandur,+91 8049653073,300
The Flying Cup,Sarjapur Road,+91 9686817341,150
The Rasaganga,Bellandur,+91 9845483535,500
Udupi Nalapaka,Bellandur,+91 9945668630,400
Sarjapur Social,Sarjapur Road,+91 9152017988,"1,500"
Konaseema Kitchen,Marathahalli,+91 8048657011,600
PSV's Andhra Paradise,HSR,+91 8065589315,600
Maia - Eat | Bake | Mom,Bellandur,+91 9513887771,"1,200"
Punjab Zone,Bellandur,+91 9035425026,400
Yummy Punjabi,Bellandur,+91 7338330821,400
Happy Endings,Bellandur,+91 8123367001,500
Meghana Biryani,Bellandur,+91 9980820099,800
Hyderabad Chefs,Marathahalli,+91 8050072131,800
Byg Brewski Brewing Company,Sarjapur Road,+91 8039514766,"1,600"
Nutty Affair,HSR,+91 8050072006,350
Chili's American Grill & Bar,Bellandur,+91 8618260391,"1,800"
Pasta Twist Plus,Bellandur,+91 9986915655,400
Delite Chaat House,HSR,+91 9342445566,300
Momo Rice Noodles,Sarjapur Road,+91 8884969170,600
Hungry Bird,Bellandur,+91 8049652997,400
Veg Rasoi,HSR,+91 6361605215,600
Curry Flavours,Sarjapur Road,+91 8048668828,200
Dhaba Estd 1986 Delhi,Marathahalli,+91 9606463631,"1,100"
Inhouse Burger,Marathahalli,+91 7337888333,400
Manchow,Bellandur,+91 8049652861,600
La Casa Brewery And Kitchen,Sarjapur Road,+91 8049653309,"1,500"
Biriyani Zone,HSR,+91 9980000887,800
Soup'ermanz Kitchen,HSR,+91 7795076877,750
North Indian Kitchen,HSR,+91 nan,
MAP- My Appetite Place,HSR,+91 9171166897,600
Sri Dalma,HSR,+91 9972168855,350
Chai World,Sarjapur Road,+91 8884333859,300
Baker's Home,Bellandur,+91 8884000601,300
Paratha Treat,Bellandur,+91 9538377268,200
Chullah Bhatti,Marathahalli,+91 8049653056,900
Mangala Hotel,Sarjapur Road,+91 8150906600,300
The Kebab House,Bellandur,+91 9535466077,250
Poha On Wheels,Bellandur,+91 8426835616,100
Float,Marathahalli,+91 9066887042,"1,500"
Makers of Milkshakes,HSR,+91 9900178139,300
Udupi Savi Thindi,Sarjapur Road,+91 8050015002,300
InnerChef,Sarjapur Road,+91 8042109812,500
Broadway - The Gourmet Theatre,HSR,+91 8049653479,"1,800"
Appetite Workstation,Sarjapur Road,+91 7349002292,500
Mango Tree Grand,Bellandur,+91 8049652629,700
Grigliato,HSR,+91 8025726660,"1,000"
Crunch Pizzas - Express Delivery,Indiranagar,+91 8310664961,500
Parrattha Ssinghh,Marathahalli,+91 7483073451,250
Atithi Aramane Veg,Bellandur,+91 9036009717,300
AKSHAYA BIRYANI,Sarjapur Road,+91 8049652942,300
Lungees Foods,Sarjapur Road,+91 9148157530,500
Reddy's Paradise,Sarjapur Road,+91 9620057965,400
Bombay Brasserie,Bellandur,+91 9513347399,"1,800"
Ajwa Thalassery Biryani,Sarjapur Road,+91 8043749355,500
Folklore Restaurant,Sarjapur Road,+91 8123451143,450
Napoli Italian Bistro,HSR,+91 8022580999,"1,200"
Uptown Sliders & Shakes,HSR,+91 9742686969,600
The Grub Central,HSR,+91 9739933456,700
Cold Smith Ice Creams,Sarjapur Road,+91 7829397120,450
Keerthi Restaurant Andhra Style,Marathahalli,+91 9741666674,300
Singh Saheb Di Rasoi,Bellandur,+91 9899114879,800
The Milkshake Theory,Sarjapur Road,+91 8048905550,400
Cake Box,Marathahalli,+91 9535262105,400
Quick Bites Food Junction,Sarjapur Road,+91 9304766066,300
Kidilum,Marathahalli,+91 9845041750,450
The Litti Company,HSR,+91 8340766542,400
Myrasoiya.com,Sarjapur Road,+91 8147682511,350
Vandana Andhra and Multi Cuisine,Sarjapur Road,+91 8049652600,900
Aashish Foods,Marathahalli,+91 8660201520,150
Rusbury Fresh Sweets And Savouries,HSR,+91 7338057730,200
Shree Khana Khazana,Bellandur,+91 9740400578,450
Moti Mahal Delux,HSR,+91 9844553321,"1,000"
Shri Vishnu Grand,Marathahalli,+91 8042013256,450
Annapurna Foods,Bellandur,+91 8048651646,400
Kitchen On Table,HSR,+91 9480024750,"1,000"
Charcoal Eats,HSR,+91 9022500500,500
Zayakedar,Bellandur,+91 7353873568,250
S S Popular Frozen Stone,Bellandur,+91 9148429483,250
Park N Eat,Marathahalli,+91 9606628430,300
Amrutha Grand Restaurant,Sarjapur Road,+91 8069999483,500
Shahi Zaikha,Sarjapur Road,+91 6363432011,300
MAD Belgian Waffles,Sarjapur Road,+91 9738506389,300
Srinathji's,Marathahalli,+91 9535822209,750
Sichuan,Bellandur,+91 8049653082,800
Bellandur Kitchen,Bellandur,+91 8971485933,400
Cakes Wagon,Bellandur,+91 8884440080,300
Sri Ganesh Juice Junction,Bellandur,+91 9066899084,200
Ooty Chocolates,Sarjapur Road,+91 9686090411,300
Kanua,Sarjapur Road,+91 8861055622,"1,400"
Apna Veg Dhaba,Bellandur,+91 9742630086,400
Dad's Cookhouse,Sarjapur Road,+91 6363704806,300
Freshies Gourmet Salads,Bellandur,+91 8073811737,350
Southinn,Sarjapur Road,+91 9019534447,250
Karachi Bakery,Sarjapur Road,+91 8049566884,400
Mughal Treat,Sarjapur Road,+91 8049652673,700
Le Charcoal Xpress,HSR,+91 9036300066,500
Foxtrot,Marathahalli,+91 9108136001,"1,200"
Le Gateau - The Cake Shop,Old Airport Road,+91 8045128785,600
Deli Chats and Sweets,Marathahalli,+91 7483073451,200
Eden Huts Restaurant,Bellandur,+91 9148686004,400
Shekhawati Restaurant,Sarjapur Road,+91 9611502263,300
Baithak,HSR,+91 8105913967,"1,100"
Ustaad Biryani,Marathahalli,+91 9108491097,250
Mumbai Xpress,Bellandur,+91 7760624268,350
Samaroh,Bellandur,+91 nan,"1,200"
Fusion Tadka,Bellandur,+91 9509503179,450
@ The Bbq,Bellandur,+91 9620997575,700
NH-1,Bellandur,+91 8095812000,600
Madurai Meenakshi Vilas,Bellandur,+91 8040936439,300
Biryani House,Bellandur,+91 9611933811,600
Karavali Naati Mane,Sarjapur Road,+91 9738344609,350
The Punjabi,Bellandur,+91 9513081286,550
Matinee Bar & Kitchen,Marathahalli,+91 9686087116,"1,700"
Spicy Paratha House,Marathahalli,+91 7829803999,450
Foodies Hub,Sarjapur Road,+91 8660522154,500
The Modak,Bellandur,+91 8048143308,400
Delhi Restaurant,Marathahalli,+91 9886610427,400
Aapni Rasoi,Bellandur,+91 7829900050,400
Deccan Kitchen,Marathahalli,+91 8884400627,700
Tapout Tavern,Sarjapur Road,+91 8043703344,"1,200"
Shanghai Bistro,Sarjapur Road,+91 8048520782,800
Hyderabad Biryaani Home,South Bangalore,+91 9742017972,650
Pabrai's Fresh & Naturelle Icecreams,HSR,+91 9535006187,180
Kritunga Restaurant,Marathahalli,+91 7619333334,650
Desi Chulha,Sarjapur Road,+91 6364068206,250
Kabab Mandra,Sarjapur Road,+91 8042008481,300
Hoot,Sarjapur Road,+91 8030474545,"1,400"
Homifoo,HSR,+91 9206298204,300
Rajasthan Sweets,Sarjapur Road,+91 9742542826,150
Ghar Ki Rasoi,Bellandur,+91 7829147687,500
Ice N Fries Cafe,Sarjapur Road,+91 9535095481,200
Nutty Squirrel,Bellandur,+91 7892500413,300
Cooking Mom,Bellandur,+91 9108761177,800
Biriyani Bungalow,Sarjapur Road,+91 7349444433,800
Absolute Shawarma,Marathahalli,+91 9148972010,150
Gusto's Pizza,Bellandur,+91 8861278614,500
Mak n Vak - Fyn,HSR,+91 8861752567,500
Bawarchi Khaana,Bellandur,+91 9019430641,600
Tumbites,Bellandur,+91 7483912240,200
Wimpie Cafe & Restaurant,Bellandur,+91 9591014229,500
Freshkicho,Bellandur,+91 9986602124,200
Carlos Cake Cafe,Sarjapur Road,+91 8147751838,300
Mighty Paws,Sarjapur Road,+91 8048514564,500
Cake Dilim,Sarjapur Road,+91 9535677777,400
Raja Bhojaun,Marathahalli,+91 8150832594,250
Mirchi Bites- Spice Heaven,Marathahalli,+91 7989273922,650
Hotel Sapthagiri,Marathahalli,+91 9901763264,700
Baker's Cafe,Marathahalli,+91 9496338747,200
Oz Pies,Bellandur,+91 8884447176,400
Tandoori Club,HSR,+91 8296255666,750
Brimstone Cafe,HSR,+91 9844504477,"1,300"
Jhanavi Restaurant,Sarjapur Road,+91 8746027881,400
Jashn,Marathahalli,+91 9742284226,750
T.A.K - That Affordable Kitchen,HSR,+91 9731523151,400
Up Shawarma,Bellandur,+91 7829002814,150
Health Zingo,Bellandur,+91 8040926309,600
Corner Huts,Bellandur,+91 9845554410,300
Half & Half Food Box,Bellandur,+91 6380012053,500
Food Treat,Bellandur,+91 9886114060,300
Five Senses,Bellandur,+91 6360843619,500
Hotel Tanish,HSR,+91 8861437462,250
Royale Dine,Sarjapur Road,+91 8048658595,600
Atithi Family Bar & Restaurant,Bellandur,+91 9008008060,500
Eatwell Restaurant,Sarjapur Road,+91 8746027881,400
Angiie's Cafe,Sarjapur Road,+91 8025741112,450
Muscat Restaurant,Marathahalli,+91 9008774123,400
Rajtilak Sweets,Sarjapur Road,+91 9620289216,250
The Chocolate Heaven - Cakes,Bellandur,+91 8041152016,600
Cake Delights,Sarjapur Road,+91 9986641966,500
Lassi Shack,Sarjapur Road,+91 9686090411,200
Soul Treat,Sarjapur Road,+91 8095399918,750
Kadala Teera,Sarjapur Road,+91 8049653097,600
Biryani Hut,Sarjapur Road,+91 8847867366,300
Red Stone Kitchen,Marathahalli,+91 9164874092,750
Second Wife Cafe,HSR,+91 9742877744,400
Paratha's Kitchen,Bellandur,+91 9701246058,200
Asia In A Box,Bellandur,+91 8041129702,550
Ram Bhog,Marathahalli,+91 9902077285,200
Silsila Restaurant,Sarjapur Road,+91 8156891602,600
Keerthi Restaurant,Sarjapur Road,+91 9741666674,300
Flying Cakes,Sarjapur Road,+91 7899147980,500
The Vape,HSR,+91 7012891601,800
Indy Palate,Bellandur,+91 7625000888,250
Sri Vasavi Restaurant,Bellandur,+91 9980744039,250
Nukkad,Bellandur,+91 8025740483,500
Pita Pit,Bellandur,+91 nan,600
Take EAT Easy,Sarjapur Road,+91 7351181155,200
Rasoiya,Sarjapur Road,+91 7411703751,450
Dhaba Shaba,Sarjapur Road,+91 9341690358,250
Sri Murali Krishna,Bellandur,+91 7676094562,600
Ghar Ka Chulha,Sarjapur Road,+91 8553077219,550
Cafe Daily Bread,Bellandur,+91 9900883000,600
Mishmash,HSR,+91 8884999466,"1,400"
T Square,Sarjapur Road,+91 9845015718,150
Sri Sai Mango Tree Restaurant,Bellandur,+91 8065555884,600
Night Diaries,Whitefield,+91 9108269485,300
Carnival Cakes & Breads,Bellandur,+91 8025747128,200
Bhagini,Bellandur,+91 8028439882,800
Unico,Bellandur,+91 9110425746,550
New Andhra Spicy,Bellandur,+91 9052897378,200
Eat N Drinks,Bellandur,+91 9567116064,150
Dosa Time,Sarjapur Road,+91 9538111999,200
Annalakshmi,Bellandur,+91 7204086566,700
Hotel Shreekshetra,Sarjapur Road,+91 9341705346,300
Payohima Ice Creams,Sarjapur Road,+91 8065374471,300
Mirapakaya,Bellandur,+91 9620067242,300
ReadyBowl,Bellandur,+91 9483443443,300
Al Zaiqa Hotel,Marathahalli,+91 9620727800,200
Tandurust,Bellandur,+91 9916976177,300
Kawaii,HSR,+91 8921570876,500
B.M.W - Bhookh Mitaane Wala,Koramangala 1st Block,+91 9035955192,500
Hyderabad Biryaani Palace,Bellandur,+91 8065390999,700
Nawab's Kitchen,Bellandur,+91 8861940404,400
The Ganache Factory,Bellandur,+91 9632259860,400
Lucknow Central,Marathahalli,+91 7042175222,350
Lovely Knights,Bellandur,+91 8884471888,500
Archana's First Crush,Sarjapur Road,+91 7204848640,400
Gowdaaa Mane Oota,Bellandur,+91 9980840421,200
Lazeez,Bellandur,+91 9035056231,600
Bonfooder,Sarjapur Road,+91 8884532555,400
Cafe At The Atelier,Sarjapur Road,+91 8049653281,800
Hotel Aahaa,Bellandur,+91 7204759288,200
Nandana Mess,Bellandur,+91 9916017843,350
Pots N Pans,Bellandur,+91 8025747067,600
Neetu's Kitchen,Bellandur,+91 9620031115,350
Flamin Grill,Bellandur,+91 9538600613,600
#FeelTheROLL,Bellandur,+91 9108342079,200
Al Khwaja,Bellandur,+91 9741622367,400
Spice Of Kolkata,Bellandur,+91 8884903123,400
Spicy Hub,Bellandur,+91 8867395867,400
Devi's Cakes N Bakes,Bellandur,+91 9980985862,200
PiÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ±ata,Bellandur,+91 9866521834,400
Savi Sagar,Bellandur,+91 9886847233,400
Spice Garden by Dum Mast Biryani,Bellandur,+91 8041509073,550
Starve Nights,Bellandur,+91 9743901100,450
Parathabox,Bellandur,+91 8021231231,150
La-Pizza,East Bangalore,+91 9611311662,450
Kabab Ghar,Bellandur,+91 9538411587,600
Chicken Shawarma Hub,Bellandur,+91 9790382375,250
Spicy Andhra,Marathahalli,+91 8041153336,600
Visantoe,Marathahalli,+91 8861635831,500
That Garage Cafe,HSR,+91 8197831158,650
Cupcake Noggins,Sarjapur Road,+91 8150961619,300
Zaika of North,Sarjapur Road,+91 8709325215,500
Wang's Xanadu Momo,HSR,+91 9738115835,250
Yummy Pot,HSR,+91 7012891601,300
Chriz Cafe,Sarjapur Road,+91 8105522071,400
Healthy Sapiens,Frazer Town,+91 7304140932,300
Lassi & More,HSR,+91 9741188142,150
Nawab-E-Khana,Bellandur,+91 9886186082,500
Aaha Andhra,Bellandur,+91 9620444144,900
Mint Spice CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© & Restaurant,Bellandur,+91 8028441220,500
Swathi Deluxe,Marathahalli,+91 8042255577,750
THE RIG,Sarjapur Road,+91 8049653470,"1,500"
Butter Side Up,Bellandur,+91 9513144558,600
Just Delhiwala,Bellandur,+91 7022732056,300
Cafe Talkhouse,HSR,+91 6397859848,400
Tastebuds,Sarjapur Road,+91 9845271734,300
Punjabi Chulla,Bellandur,+91 9916824979,300
Rolls Kitchen,Marathahalli,+91 nan,250
Anand Sweets And Savouries,Sarjapur Road,+91 8041575757,400
Nayi Dilli by Anand Sweets,Sarjapur Road,+91 8041575757,"1,000"
Cauvery Hyderabadi Biriyani,Marathahalli,+91 7411004538,600
B'Town Cafe & Restaurant,Marathahalli,+91 7815958567,350
Good Food Kitchen,Sarjapur Road,+91 9916511003,400
Sree Lakshmi Venkateshwara Andhra Mess,Marathahalli,+91 7899277572,400
Baba Da Dhaba,Sarjapur Road,+91 9845046564,650
Delice - Novotel,Marathahalli,+91 9538897344,800
Payohima,Sarjapur Road,+91 8065374471,"1,000"
Heavenly Desserts,Sarjapur Road,+91 9845192248,300
North Met South,Sarjapur Road,+91 8296574141,800
Kriti Dugar,Marathahalli,+91 9379560985,200
WOW MOMO,Marathahalli,+91 6360627467,300
Lluvia Bakery,Sarjapur Road,+91 8105162111,350
Helloo Delhi,Sarjapur Road,+91 8025721818,"1,000"
Smokin Bites,Sarjapur Road,+91 9538909155,200
Health Gourmet,Sarjapur Road,+91 8073905451,600
China On My Plate,Bellandur,+91 7019901121,800
Paratha King,Bellandur,+91 9916824979,300
Kakatiya's,HSR,+91 9900026091,250
Hangouts @ Kashish Caterers,HSR,+91 7892688941,400
Go Gharelu,Marathahalli,+91 8095508855,250
Savours,Sarjapur Road,+91 8296037089,350
Coffee Bike,Bellandur,+91 9945111910,250
Homemade Delite,HSR,+91 9972245356,200
Hokey Pokey Ice Creams,Sarjapur Road,+91 7829397120,350
Chullah Chandigarh,Bellandur,+91 8043752115,800
BG's Poolside Bar & Grill,Bellandur,+91 9513584681,"1,600"
Glassy,Bellandur,+91 8049653500,"1,400"
Andhra Spicy,Bellandur,+91 9066286281,400
Noodles,Bellandur,+91 9885576726,400
Harvest Market,Bellandur,+91 9885576726,500
TRP -That Roll Place,Bellandur,+91 9164610427,200
Sri Krishna Upahar,Bellandur,+91 9845371809,250
OPUS Club,Sarjapur Road,+91 8046444777,"1,900"
Vapour Brewpub and Diner,Sarjapur Road,+91 8049653047,"1,400"
Blue Terrain - Novotel,Marathahalli,+91 8049653418,"2,000"
Asia Alive - DoubleTree Suites By Hilton,Sarjapur Road,+91 8861301373,"2,000"
The Square - Novotel,Marathahalli,+91 8049652905,"2,500"
Chez Nous - Novotel,Marathahalli,+91 9538897369,"2,500"
Madurai Idly Shop,Sarjapur Road,+91 9148186352,200
Bengaluru's Biryanis Paradise,Marathahalli,+91 8884902839,300
Arab 360,Marathahalli,+91 9448608280,250
Quiznos,Sarjapur Road,+91 8867657637,500
Ambur Star Biryani,Sarjapur Road,+91 9843733541,200
Tandoori Tadka,Marathahalli,+91 8892712233,300
